MlsNumber,PostalCode,Price,PropertyType,Address,Longitude,Latitude,BuildingType,Bathrooms,Bedrooms,Stories,Size,RealEstateCompany,ElectoralDiv,FullBedrooms,OtherRooms,HouseNumber,NumSum,LotArea
H4068939,L9B0G1,634900,Single Family,"87 SUMMERBERRY Way|Hamilton, Ontario L9B0G1",-79.906444,43.209558,House,3.0,3,2.0,26.67 x 100.3|under 1/2 acre,Royal LePage State Realty,Hamilton Mountain,3,0,87.0,6.0,21780.0
235755,L0R1A0,729900,Single Family,"2030 WILSON STREET W|Alberton, Ontario L0R1A0",-80.05810699999998,43.188427000000004,House,1.0,3 + 1,,0.55 ac|1/2 - 1 acre,ROYAL LEPAGE TRILAND REALTY,Flamborough--Glanbrook,3,1,2030.0,5.0,23958.000000000004
H4068827,L9K0G1,729000,Single Family,"37 HOUSE Lane|Ancaster, Ontario L9K0G1",-79.940167,43.21392700000001,House,3.0,3,2.0,33.01 x 108.78|under 1/2 acre,RE/MAX Escarpment Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,0,37.0,1.0,21780.0
X4647034,L9G0B6,969900,Single Family,"44 BOOKJANS DR|Hamilton, Ontario L9G0B6",-79.9606284,43.20978570000001,House,3.0,4,2.0,49.51 x 125.68 FT,RE/MAX ESCARPMENT REALTY INC.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,44.0,8.0,6222.4168
H4068828,L0R1W0,765000,Single Family,"9075 White Church Road W|Mount Hope, Ontario L0R1W0",-79.922538,43.145692,House,2.0,3 + 2,1.0,150 x 182|1/2 - 1.99 acres,The Loft Realty Inc.,Flamborough--Glanbrook,3,2,9075.0,3.0,86684.4
H4068816,L9G0B6,969900,Single Family,"44 BOOKJANS Drive|Ancaster, Ontario L9G0B6",-79.960571,43.209777,House,3.0,4,2.0,49.51 x 125.68|under 1/2 acre,RE/MAX Escarpment Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,44.0,8.0,21780.0
X4646086,L9C6V8,675000,Single Family,"15 GOLDWIN ST|Hamilton, Ontario L9C6V8",-79.91959809999999,43.2253919,House,3.0,4,,52.3 x 100 FT,RE/MAX ESCARPMENT GOLFI REALTY INC.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,15.0,6.0,5230.0
X4645833,L9B2P2,839900,Single Family,"1218 UPPER PARADISE RD|Hamilton, Ontario L9B2P2",-79.9230524,43.2085515,House,4.0,4 + 1,2.0,53.76 x 106.97 FT,ROYAL LEPAGE STATE REALTY,Flamborough--Glanbrook,4,1,1218.0,3.0,5750.7072
H4068774,L9C6V8,675000,Single Family,"15 Goldwin Street|Hamilton, Ontario L9C6V8",-79.919598,43.225565,House,3.0,3 + 1,,52.3 x 100|under 1/2 acre,RE/MAX Escarpment Golfi Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,1,15.0,6.0,21780.0
H4068757,L9C4S2,529899,Single Family,"6 GREYFRIAR Drive|Hamilton, Ontario L9C4S2",-79.90943100000001,43.220364000000004,House,2.0,4,2.0,52 x 100|under 1/2 acre,Voortman Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,6.0,6.0,21780.0
H4068739,L9B2P2,839900,Single Family,"1218 UPPER PARADISE Road|Hamilton, Ontario L9B2P2",-79.923009,43.207792,House,4.0,4 + 1,2.0,53.76 x 106.97|under 1/2 acre,Royal LePage State Realty,Flamborough--Glanbrook,4,1,1218.0,3.0,21780.0
X4644955,L9C7P7,849900,Single Family,"2 ELENA CRT|Hamilton, Ontario L9C7P7",-79.92867070000001,43.2284985,House,5.0,4 + 2,2.0,50 x 150 FT ; None,ROCK STAR REAL ESTATE INC.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,2,2.0,2.0,7500.0
X4644912,L9B0E3,947900,Single Family,"91 GRETI DR|Hamilton, Ontario L9B0E3",-79.88410290000002,43.1846847,House,4.0,4 + 2,2.0,39.6 x 144.64 FT,RE/MAX ESCARPMENT GOLFI REALTY INC.,Flamborough--Glanbrook,4,2,91.0,1.0,5727.744
H4068695,L8B0E3,947900,Single Family,"91 Greti Drive|Glanbrook, Ontario L8B0E3",-79.884682,43.185015,House,4.0,4 + 2,2.0,39.6 x 144.64|under 1/2 acre,RE/MAX Escarpment Golfi Realty Inc.,Flamborough--Glanbrook,4,2,91.0,1.0,21780.0
H4068663,L9C7P8,648000,Single Family,"571 UPPER HORNING Road|Hamilton, Ontario L9C7P8",-79.928027,43.226417,House,2.0,3 + 1,,45.11 x 105.28|under 1/2 acre,Royal LePage Macro Realty,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,1,571.0,4.0,21780.0
X4644081,L9B0E3,759900,Single Family,"15 TURI DR|Hamilton, Ontario L9B0E3",-79.8850333,43.1857545,House,3.0,3,2.0,41.99 x 120.31 FT,RE/MAX ESCARPMENT REALTY INC.,Flamborough--Glanbrook,3,0,15.0,6.0,5051.816900000001
H4068646,L9K1S4,1259999,Single Family,"151 CHAMBERS Drive|Ancaster, Ontario L9K1S4",-79.946102,43.215422,House,6.0,4,2.0,45.11 x 104.99|under 1/2 acre,Homelife Professionals Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,151.0,7.0,21780.0
H4068373,L9C7P7,849900,Single Family,"2 ELENA Court|Hamilton, Ontario L9C7P7",-79.928639,43.228499,House,5.0,4 + 2,2.0,50.11 x 150.33|under 1/2 acre,Rock Star Real Estate Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,2,2.0,2.0,21780.0
H4068614,L9B0E3,759900,Single Family,"15 TURI Drive|Glanbrook, Ontario L9B0E3",-79.887222,43.185753999999996,House,3.0,3,2.0,41.99 x 120.31|under 1/2 acre,RE/MAX Escarpment Realty Inc.,Flamborough--Glanbrook,3,0,15.0,6.0,21780.0
X4643676,N3T0P7,685999,Single Family,"269 GARDEN AVE LOT #25 AVE|Brantford, Ontario N3T0P7",-80.20921379999999,43.1469076,House,3.0,4,2.0,36 x 100 FT,CENTURY 21 PRESIDENT REALTY INC.,Brantford--Brant,4,0,269.0,8.0,3600.0
H4068528,L9G4P2,799999,Single Family,"58 Norma Crescent|Ancaster, Ontario L9G4P2",-80.002915,43.212377000000004,House,4.0,4,2.0,59.71 x 108.27|under 1/2 acre,RE/MAX Escarpment Realty Inc,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,58.0,4.0,21780.0
X4642680,L9C3K5,649900,Single Family,"100 WEST 3RD ST|Hamilton, Ontario L9C3K5",-79.8836484,43.2324146,House,2.0,5 + 3,1.0,43.01 x 102.75 FT,RE/MAX ESCARPMENT REALTY INC.,Hamilton Mountain,5,3,100.0,1.0,4419.2775
X4642693,L9K0H8,699000,Single Family,"82 HEMING TR|Hamilton, Ontario L9K0H8",-79.9329482889219,43.211557193276995,House,3.0,3 + 0,2.0,21.98 x 115.65 FT,KELLER WILLIAMS COMPLETE REALTY,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,0,82.0,1.0,2541.987
H4068515,L9K0H8,699000,Single Family,"82 Heming Trail|Ancaster, Ontario L9K0H8",-79.93295400000002,43.211582,House,3.0,3,2.0,21.98 x 115.65|under 1/2 acre,Keller Williams Complete Realty,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,0,82.0,1.0,21780.0
X4642432,L9C7H9,629900,Single Family,"150 MAGNOLIA DR|Hamilton, Ontario L9C7H9",-79.924537,43.2325928,House,3.0,4,2.0,41.77 x 115 FT,PURPLEBRICKS,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,150.0,6.0,4803.55
H4068525,L9C1Z9,599900,Single Family,"264 Sanatorium Road|Hamilton, Ontario L9C1Z9",-79.90572,43.234962,House,2.0,2 + 2,1.0,50 x 120|under 1/2 acre,RE/MAX Escarpment Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,2,2,264.0,3.0,21780.0
H4068523,L9C7H9,629900,Single Family,"150 Magnolia Drive|Hamilton, Ontario L9C7H9",-79.924387,43.232596,House,3.0,4,2.0,41.77 x 115|under 1/2 acre,Purplebricks,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,150.0,6.0,21780.0
H4067231,L9B1P9,874900,Single Family,"179 GRETI Drive|Glanbrook, Ontario L9B1P9",-79.884323,43.185067,House,3.0,4,2.0,39.37 x 114.86|under 1/2 acre,Keller Williams Edge Realty,Flamborough--Glanbrook,4,0,179.0,8.0,21780.0
H4068174,L9G5E4,769900,Single Family,"11 Naomi Court|Ancaster, Ontario L9G5E4",-79.98735699999997,43.202563,House,4.0,3 + 1,2.0,36.06 x 111.15|under 1/2 acre,"St.Jean Realty Inc.,",Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,1,11.0,2.0,21780.0
X4640258,L9G5A7,769800,Single Family,"271 BRAITHWAITE AVE|Hamilton, Ontario L9G5A7",-79.9944679,43.20329,House,4.0,4 + 2,2.0,39.37 x 101.71 FT,SEARCH REALTY CORP.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,2,271.0,1.0,4004.3226999999997
H4068367,L9G2G6,739000,Single Family,"110 CALVIN Street|Ancaster, Ontario L9G2G6",-79.98026,43.208563,House,2.0,3,1.0,120.01 x 87|under 1/2 acre,Purplebricks,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,0,110.0,2.0,21780.0
X4639884,L9G2G6,739000,Single Family,"110 CALVIN ST|Hamilton, Ontario L9G2G6",-79.9790158,43.2084976,House,2.0,3,1.0,120.01 x 87 FT,PURPLEBRICKS,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,0,110.0,2.0,10440.87
H4068303,L9C3K5,649900,Single Family,"100 WEST 3RD Street|Hamilton, Ontario L9C3K5",-79.883187,43.232677,House,2.0,5 + 3,,43.01 x 102.75|under 1/2 acre,RE/MAX Escarpment Realty Inc.,Hamilton Mountain,5,3,100.0,1.0,21780.0
X4639411,L9C7S4,699900,Single Family,"7 JOSEPH CRT|Hamilton, Ontario L9C7S4",-79.8972515,43.2209366,House,3.0,4,2.0,23 x 176 FT ; 35 X 176 X 13 X 126 X 100,RE/MAX ESCARPMENT REALTY INC.,Hamilton Mountain,4,0,7.0,7.0,4048.0
H4068284,L0R1W0,649900,Single Family,"13 IDLEWILDE Lane|Glanbrook, Ontario L0R1W0",-79.92666700000002,43.200585,House,2.0,3,1.0,46.87 x 98.43|under 1/2 acre,Royal LePage State Realty,Flamborough--Glanbrook,3,0,13.0,4.0,21780.0
H4068135,L9C7S4,699900,Single Family,"7 JOSEPH Court|Hamilton, Ontario L9C7S4",-79.897927,43.220869,House,3.0,5,2.0,35 X 176 X 13 X 126 X 100|under 1/2 acre,RE/MAX Escarpment Realty Inc.,Hamilton Mountain,5,0,7.0,7.0,21780.0
H4068234,L9G0G3,1100000,Single Family,"101 CESAR Place|Ancaster, Ontario L9G0G3",-80.013258,43.201904,House,2.0,3,1.0,60 x|under 1/2 acre,RE/MAX Escarpment Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,0,101.0,2.0,21780.0
30779082,N3P1L4,394900,Single Family,"172 Sympatica Crescent|Brantford, Ontario N3P1L4",-80.228548,43.17917,House,2.0,3,2.0,under 1/2 acre,Century 21 Professional Group The Munir Group Inc.,Brantford--Brant,3,0,172.0,1.0,21780.0
H4068232,L9G0G3,1100000,Single Family,"83 CESAR Place|Ancaster, Ontario L9G0G3",-80.01339300000002,43.201846999999994,House,3.0,3,1.0,60 x|under 1/2 acre,RE/MAX Escarpment Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,0,83.0,2.0,21780.0
X4638767,L9B0B5,799000,Single Family,"28 SAN FELICE LANE|Hamilton, Ontario L9B0B5",-79.8833421,43.2021021,House,4.0,4,2.0,32.81 x 115 FT ; ((( Virtual Tour ))),GOWEST REALTY LTD.,Hamilton Mountain,4,0,28.0,1.0,3773.15
30779029,L9B0B5,799000,Single Family,"28 SAN FELICE Lane|Hamilton, Ontario L9B0B5",-79.883321,43.201865999999995,House,4.0,4 + 1,2.0,under 1/2 acre,"GoWest Realty Ltd., Brokerage",Hamilton Mountain,4,1,28.0,1.0,21780.0
H4068083,L0R1R0,1350000,Single Family,"8 KATSURA Place|Ancaster, Ontario L0R1R0",-80.01647700000002,43.209998,House,4.0,3,1.0,100 x 459.81|1/2 - 1.99 acres,RE/MAX Escarpment Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,0,8.0,8.0,86684.4
H4068183,N3T5L4,1890000,Single Family,"62 HAMMOND Road|Brantford, Ontario N3T5L4",-80.141574,43.14144,House,5.0,4 + 1,2.0,147.64 x 0|1/2 - 1.99 acres,Royal LePage State Realty,Brantford--Brant,4,1,62.0,8.0,86684.4
X4638432,L9G5A6,819900,Single Family,"206 BRAITHWAITE AVE|Hamilton, Ontario L9G5A6",-79.99206509999998,43.2027788,House,4.0,4 + 1,2.0,44.39 x 104.99 Acre,RE/MAX ESCARPMENT REALTY INC.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,1,206.0,8.0,4573364.399999999
H4067981,L9G5A6,819900,Single Family,"206 BRAITHWAITE Avenue|Ancaster, Ontario L9G5A6",-79.991786,43.202942,House,4.0,4 + 1,2.0,44.39 x 104.99|under 1/2 acre,RE/MAX Escarpment Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,1,206.0,8.0,21780.0
H4067998,L0R1W0,899999,Single Family,"6430 Chippewa Road E|Mount Hope, Ontario L0R1W0",-79.885265,43.12461,House,5.0,2,1.0,195 x 400|under 1/2 acre,RE/MAX Escarpment Realty Inc.,Flamborough--Glanbrook,2,0,6430.0,4.0,21780.0
X4638063,L9K0A6,799888,Single Family,"42 FAIR ST|Hamilton, Ontario L9K0A6",-79.9415522,43.21588670000001,House,4.0,4,2.0,40.03 x 114.86 FT,SOTHEBY'S INTERNATIONAL REALTY CANADA,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,42.0,6.0,4597.8458
H4068156,L9G0B8,1559444,Single Family,"17 GREGORIO Court|Ancaster, Ontario L9G0B8",-79.960385,43.210324,House,5.0,4,2.0,55.25 x 0|under 1/2 acre,Homelife Professionals Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,17.0,8.0,21780.0
H4068089,L9G1H9,2699444,Single Family,"174 LLOYMINN Avenue|Ancaster, Ontario L9G1H9",-79.995511,43.224529,House,5.0,3 + 2,1.0,84.1 x 213.09|under 1/2 acre,Homelife Professionals Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,2,174.0,3.0,21780.0
30778286,N3S7J6,569900,Single Family,"Lot 21 Grey Street|Brantford, Ontario N3S7J6",-80.226395,43.148244,House,3.0,3,2.0,under 1/2 acre,Royal Lepage Action Realty,Brantford--Brant,3,0,,,21780.0
30778281,N3S7J6,549900,Single Family,"Lot 24 Grey Street|Brantford, Ontario N3S7J6",-80.226395,43.148244,House,3.0,3,2.0,under 1/2 acre,Royal Lepage Action Realty,Brantford--Brant,3,0,,,21780.0
30778278,N3S7J6,589900,Single Family,"Lt 17 Grey Street|Brantford, Ontario N3S7J6",-80.225301,43.14772,House,3.0,4,2.0,under 1/2 acre,Royal Lepage Action Realty,Brantford--Brant,4,0,,,21780.0
30778218,N3S7J6,644900,Single Family,"Lt 6 Cumberland Street|Brantford, Ontario N3S7J6",-80.22532199999998,43.147704,House,3.0,4,2.0,under 1/2 acre,Royal Lepage Action Realty,Brantford--Brant,4,0,,,21780.0
30778264,N3S7J6,649900,Single Family,"Lt 7 Cumberland Street|Brantford, Ontario N3S7J6",-80.225301,43.147698,House,3.0,4,2.0,under 1/2 acre,Royal Lepage Action Realty,Brantford--Brant,4,0,,,21780.0
30778649,L9K0A9,799888,Single Family,"42 FAIR Street|Ancaster, Ontario L9K0A9",-79.941591,43.215888,House,4.0,4,2.0,under 1/2 acre,"Sotheby's International Realty Canada, Brokerage",Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,42.0,6.0,21780.0
H4068090,L9G4V3,1249900,Single Family,"181 Greenbriar Road|Ancaster, Ontario L9G4V3",-79.961457,43.217812,House,4.0,4,2.0,78.74 x 262.7|under 1/2 acre,Royal LePage State Realty,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,181.0,1.0,21780.0
X4636614,L9G3L1,1250000,Single Family,"1085 SOUTHCOTE RD|Hamilton, Ontario L9G3L1",-79.951636,43.18764270000001,House,1.0,4,1.5,479 x 253 FT,RE/MAX ESCARPMENT GOLFI REALTY INC.,Flamborough--Glanbrook,4,0,1085.0,5.0,121187.0
H4068026,L9C5X9,559000,Single Family,"11 FARMER Court|Hamilton, Ontario L9C5X9",-79.916519,43.231534,House,2.0,3 + 3,,47 x 110.05|under 1/2 acre,RE/MAX Real Estate Centre Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,3,11.0,2.0,21780.0
X4635606,L9C4Z6,599000,Single Family,"166 WEST 26TH ST|Hamilton, Ontario L9C4Z6",-79.9070043,43.2361759,House,2.0,3 + 1,1.0,50 x 120 FT,KELLER WILLIAMS REFERRED URBAN REALTY,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,1,166.0,4.0,6000.0
X4635293,L9C5X9,559000,Single Family,"11 FARMER CRT|Hamilton, Ontario L9C5X9",-79.9164936,43.2313298,House,2.0,6,1.0,47.01 x 110.31 FT,RE/MAX REAL ESTATE CENTRE INC.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,6,0,11.0,2.0,5185.6731
X4635242,L0R1W0,699900,Single Family,"3079 HOMESTEAD DR|Hamilton, Ontario L0R1W0",-79.91299529999998,43.159032399999994,House,3.0,4,1.5,170 x 140 FT|1/2 - 1.99 acres,ROYAL LEPAGE INFINITY REALTY,Flamborough--Glanbrook,4,0,3079.0,1.0,23800.0
H4067860,L0R1W0,729900,Single Family,"7332 TWENTY Road E|Glanbrook, Ontario L0R1W0",-79.876109,43.185819,House,2.0,4,1.0,90 x 200|under 1/2 acre,Royal LePage Macro Realty,Flamborough--Glanbrook,4,0,7332.0,6.0,21780.0
H4067977,L9G3L5,1599900,Single Family,"222 MARTIN Road|Ancaster, Ontario L9G3L5",-80.009247,43.217597999999995,House,3.0,5,2.0,971.75 x 365.91|5 - 9.99 acres,Royal LePage State Realty,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,5,0,222.0,6.0,435164.4
H4067958,L0R1W0,1199999,Single Family,"Lot 13 Tyneside Road|Glanbrook, Ontario L0R1W0",-79.876041,43.123046,House,3.0,3,1.0,0.92 ACRES|1/2 - 1.99 acres,Jim Pauls Real Estate Ltd.,Flamborough--Glanbrook,3,0,,,40075.200000000004
H4067690,L0R1R0,1699999,Single Family,"401 LYNDEN Road|Ancaster, Ontario L0R1R0",-80.136361,43.206983,House,4.0,3 + 1,1.0,341.2' x 711.7' (5.4 ACRES)|5 - 9.99 acres,"Thornberry, Outlaw & Associates Limited",Flamborough--Glanbrook,3,1,401.0,5.0,235224.00000000003
X4634509,L9K1N9,879000,Single Family,"39 HOLKHAM AVE|Hamilton, Ontario L9K1N9",-79.95673509999997,43.213387,House,3.0,3 + 1,2.0,45.34 x 110.6 FT,RE/MAX ESCARPMENT GOLFI REALTY INC.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,1,39.0,3.0,5014.604
30777955,L9G3L1,749900,Single Family,"1595 Fiddler's Green Road|Ancaster, Ontario L9G3L1",-79.968059,43.157775,House,2.0,3,1.0,0.89 ac|1/2 - 1.99 acres,Sutton Team Realty Inc.,Flamborough--Glanbrook,3,0,1595.0,2.0,38768.4
X4633518,L9G3L1,1439000,Single Family,"1486 SAWMILL RD|Hamilton, Ontario L9G3L1",-80.0341201,43.1498602,House,4.0,4 + 2,1.5,175 x 800 FT ; 802.37Ftx198.41Ftx798.87Ftx213.12Ft,ROYAL LEPAGE REALTY PLUS OAKVILLE,Brantford--Brant,4,2,1486.0,1.0,140000.0
30777725,L9G3L1,1439000,Single Family,"1486 Sawmill Road|Ancaster, Ontario L9G3L1",-80.03347600000002,43.149460999999995,House,4.0,4 + 2,1.5,3.28 ac|2 - 4.99 acres,"Royal LePage Realty Plus Oakville, Brokerage",Brantford--Brant,4,2,1486.0,1.0,142876.8
X4633259,L9B2X9,724900,Single Family,"131 MEADOWBANK DR|Hamilton, Ontario L9B2X9",-79.92468620000002,43.2102847,House,3.0,4,2.0,35.14 x 98.49 FT,RE/MAX ESCARPMENT GOLFI REALTY INC.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,131.0,5.0,3460.9386
H4067768,L9B2X9,724900,Single Family,"131 Meadowbank Drive|Hamilton, Ontario L9B2X9",-79.92432,43.210857,House,3.0,4,2.0,35.14 x 98.49|under 1/2 acre,RE/MAX Escarpment Golfi Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,131.0,5.0,21780.0
X4632585,L9C1X5,1289900,Single Family,"557 MOHAWK RD W|Hamilton, Ontario L9C1X5",-79.90840370000002,43.2325203,House,4.0,4,2.0,56.9 x 174.85 FT,RE/MAX ESCARPMENT REALTY INC.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,557.0,8.0,9948.965
H4067771,N3T5L9,649900,Single Family,"41 BLOSSOM Avenue|Brantford, Ontario N3T5L9",-80.195932,43.13525300000001,House,2.0,3 + 1,1.5,60.01 x 415|1/2 - 1.99 acres,RE/MAX Escarpment Realty Inc.,Brantford--Brant,3,1,41.0,5.0,86684.4
H4067742,L9C1X5,1289900,Single Family,"557 MOHAWK Road W|Hamilton, Ontario L9C1X5",-79.905142,43.232147999999995,House,4.0,4,2.0,56.89 x 174.85|under 1/2 acre,RE/MAX Escarpment Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,557.0,8.0,21780.0
X4631814,N3S0C9,677000,Single Family,"128 THOMAS AVE|Brantford, Ontario N3S0C9",-80.2079579,43.151661,House,3.0,4,2.0,36.09 x 109.91 FT,IPRO REALTY LTD.,Brantford--Brant,4,0,128.0,2.0,3966.6519000000003
30777292,N3S0C9,677000,Single Family,"128 THOMAS Avenue|Brantford, Ontario N3S0C9",-80.208484,43.150425,House,3.0,4,2.0,under 1/2 acre,"Ipro Realty Ltd, Brokerage",Brantford--Brant,4,0,128.0,2.0,21780.0
H4067680,L9K1N9,879000,Single Family,"39 Holkham Avenue|Ancaster, Ontario L9K1N9",-79.956547,43.213232,House,3.0,3 + 1,2.0,45.24 x 110.6|under 1/2 acre,RE/MAX Escarpment Golfi Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,3,1,39.0,3.0,21780.0
H4067610,L9G4L9,1499000,Single Family,"15 Bunting Place|Ancaster, Ontario L9G4L9",-79.968242,43.220737,House,4.0,4,2.0,almost 1/2 acre|under 1/2 acre,Judy Marsales Real Estate Ltd.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,15.0,6.0,21780.0
X4630259,L9K0C1,1049900,Single Family,"12 LOCKMAN DR|Hamilton, Ontario L9K0C1",-79.94514720000002,43.2113196,House,5.0,4,2.0,45 x 100 FT,ROYAL LEPAGE STATE REALTY,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,12.0,3.0,4500.0
X4630261,L9K0C1,1049900,Single Family,"16 LOCKMAN DR|Hamilton, Ontario L9K0C1",-79.94514720000002,43.2113196,House,5.0,4,2.0,45 x 100 FT,ROYAL LEPAGE STATE REALTY,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,16.0,7.0,4500.0
X4630255,L9K0C1,1299900,Single Family,"4 LOCKMAN DR|Hamilton, Ontario L9K0C1",-79.94514720000002,43.2113196,House,5.0,4,2.0,65 x 100 FT,ROYAL LEPAGE STATE REALTY,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,4.0,4.0,6500.0
H4066637,L9K0C1,1299900,Single Family,"4 Lockman Drive|Ancaster, Ontario L9K0C1",-79.945212,43.211217,House,5.0,4,2.0,65 x 100|under 1/2 acre,Royal LePage State Realty,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,4.0,4.0,21780.0
H4066646,L9K0C1,1049900,Single Family,"12 Lockman Drive|Ancaster, Ontario L9K0C1",-79.945319,43.211233,House,5.0,4,2.0,45 x 100|under 1/2 acre,Royal LePage State Realty,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,12.0,3.0,21780.0
H4066862,L9K0C1,1049900,Single Family,"16 Lockman Drive|Ancaster, Ontario L9K0C1",-79.94516899999998,43.211217,House,5.0,4,2.0,45 x 100|under 1/2 acre,Royal LePage State Realty,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,16.0,7.0,21780.0
X4629893,L9G5C5,809900,Single Family,"128 TRANQUILITY AVE|Hamilton, Ontario L9G5C5",-80.0109368,43.2102067,House,3.0,2 + 2,1.0,40.19 x 127.4 FT ; Irreg,ROYAL LEPAGE BURLOAK BARBARA BEERS,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,2,2,128.0,2.0,5120.206
H4067602,L9G1P1,929000,Single Family,"190 Taylor Road|Ancaster, Ontario L9G1P1",-79.995421,43.21474600000001,House,3.0,4,,75 x 130|under 1/2 acre,Right At Home Realty Inc.,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,4,0,190.0,1.0,21780.0
H4067538,L9C0B8,869900,Single Family,"206 FORTISSIMO Drive|Hamilton, Ontario L9C0B8",-79.891184,43.215718,House,3.0,4,2.0,36.94 x 100.21|under 1/2 acre,Right At Home Realty Inc.,Hamilton Mountain,4,0,206.0,8.0,21780.0
H4067546,L9G5C5,809900,Single Family,"128 Tranquility Avenue|Ancaster, Ontario L9G5C5",-80.011033,43.210373,House,3.0,2 + 2,1.0,40.19 x 127.4|under 1/2 acre,Royal LePage Burloak Barbara Beers,Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,2,2,128.0,2.0,21780.0
H4066696,L9K1R9,999900,Single Family,"134 Armour Crescent|Ancaster, Ontario L9K1R9",-79.94149200000003,43.224051,House,4.0,5,2.0,105.48 x 114.47|under 1/2 acre,"St.Jean Realty Inc.,",Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas,5,0,134.0,8.0,21780.0
