MlsNumber,PostalCode,Price,PropertyType,Address,Longitude,Latitude,BuildingType,Bathrooms,Bedrooms,Stories,Size,RealEstateCompany,FullBedrooms,OtherRooms,LotArea,ElectoralDiv
W4573227,L6X1K1,759000.0,Single Family,"58 ROSEDALE AVE W|Brampton, Ontario L6X1K1",-79.7701048,43.6885312,House,2.0,3 + 1,2.0,48 x 163 FT,RE/MAX REALTY SERVICES INC.,3.0,1,7824.0,Brampton South / Brampton-Sud
W4573082,L6X4K5,799900.0,Single Family,"157 SPRINGVIEW DR|Brampton, Ontario L6X4K5",-79.7924399,43.69617720000001,House,4.0,4 + 1,2.0,36 x 101 FT,CENTURY 21 GREEN REALTY INC.,4.0,1,3636.0,Brampton West / Brampton-Ouest
W4573060,L7A3N2,763900.0,Single Family,"74 SUGARHILL DR|Brampton, Ontario L7A3N2",-79.8358238,43.7005155,House,4.0,3,2.0,36.09 x 80.38 FT,CENTURY 21 PARKLAND LTD.,3.0,0,2900.9142,Brampton West / Brampton-Ouest
W4573657,L6X1L9,655000.0,Single Family,"84 ARCHIBALD ST|Brampton, Ontario L6X1L9",-79.777759,43.693119,House,2.0,3,1.0,40.35 x 125.29 FT,CENTURY 21 MILLENNIUM INC.,3.0,0,5055.4515,Brampton South / Brampton-Sud
W4572780,L7A2Y1,884990.0,Single Family,"33 DEFOREST DR|Brampton, Ontario L7A2Y1",-79.81787740000001,43.7032811,House,4.0,4,2.0,44.95 x 85.3 FT,CENTURY 21 MILLENNIUM INC.,4.0,0,3834.235,Brampton West / Brampton-Ouest
W4572304,L7A4M8,1499000.0,Single Family,"8 MONUMENT TR|Brampton, Ontario L7A4M8",-79.84644279999998,43.687253399999996,House,3.0,3 + 1,1.0,43.18 x 90 FT,RE/MAX REAL ESTATE CENTRE INC.,3.0,1,3886.2,Brampton West / Brampton-Ouest
W4572286,L6X2L5,729900.0,Single Family,"19 WINDERMERE CRT|Brampton, Ontario L6X2L5",-79.7837693,43.6804926,House,3.0,4 + 2,2.0,48 x 100 FT,SUTTON GROUP - ELYSIUM REAL ESTATE SERVICES,4.0,2,4800.0,Brampton West / Brampton-Ouest
W4572244,L7A3S5,839900.0,Single Family,"6 LENA GATE|Brampton, Ontario L7A3S5",-79.82221109999998,43.7116756,House,3.0,3 + 1,2.0,42 x 122.6 FT ; Irregular Pie Shape- 83 Ft Across Back,ROYAL LEPAGE VENDEX REALTY,3.0,1,5149.2,Brampton West / Brampton-Ouest
W4572103,L6V1T2,659999.0,Single Family,"64 CENTRE ST N|Brampton, Ontario L6V1T2",-79.7590338,43.6935106,House,2.0,3,2.5,63.83 x 100 FT,KELLER WILLIAMS NEIGHBOURHOOD REALTY,3.0,0,6383.0,Brampton South / Brampton-Sud
W4572001,L6Y5Z2,1099905.0,Single Family,"12 ARIES ST|Brampton, Ontario L6Y5Z2",-79.7721166,43.6591621,House,4.0,4,2.0,55.97 x 98.41 FT ; Irregular Corner Lot- No Walk-Way,RE/MAX REALTY SPECIALISTS INC.,4.0,0,5508.0077,Brampton South / Brampton-Sud
W4571447,L7A3X6,849900.0,Single Family,"167 SUGARHILL DR|Brampton, Ontario L7A3X6",-79.84024409999998,43.6963885,House,3.0,4,2.0,36.09 x 86.12 FT,RE/MAX REALTY SERVICES INC.,4.0,0,3108.0708000000004,Brampton West / Brampton-Ouest
W4571196,L6V2S5,699000.0,Single Family,"72 CHARTERS RD|Brampton, Ontario L6V2S5",-79.75731440000001,43.70776420000001,House,3.0,4 + 2,2.0,55.78 x 100 FT,CENTURY 21 EMPIRE REALTY INC,4.0,2,5578.0,Brampton Centre / Brampton-Centre
W4570967,L6V3E2,699000.0,Single Family,"1 ASHFORD CRT|Brampton, Ontario L6V3E2",-79.769572,43.702057,House,2.0,3 + 1,1.0,33.64 x 100 FT,ROYAL STAR REALTY INC.,3.0,1,3364.0,Brampton Centre / Brampton-Centre
W4570546,L7A4A3,1090000.0,Single Family,"9 GOODSWAY TR|Brampton, Ontario L7A4A3",-79.842024,43.678012100000004,House,5.0,4 + 1,2.0,35.89 x 90 FT,SUTTON GROUP-TOWER REALTY LTD.,4.0,1,3230.1,Brampton West / Brampton-Ouest
W4569609,L6V2T8,639900.0,Single Family,"41 SKEGBY RD|Brampton, Ontario L6V2T8",-79.7652977,43.7061961,House,2.0,3 + 1,1.0,46.41 x 100 FT,ONE PERCENT REALTY LTD.,3.0,1,4641.0,Brampton Centre / Brampton-Centre
W4569485,L6Y4T3,799000.0,Single Family,"27 LETTY AVE|Brampton, Ontario L6Y4T3",-79.7668198,43.6596052,House,5.0,4,2.0,29.62 x 102 FT,RE/MAX WEST REALTY INC.,4.0,0,3021.24,Brampton South / Brampton-Sud
W4569357,L6X2Z4,1449900.0,Single Family,"8 SPEEDWELL ST|Brampton, Ontario L6X2Z4",-79.7904113,43.66532760000001,House,5.0,5 + 2,2.0,35.26 x 370.89 FT,ROYAL STAR REALTY INC.,5.0,2,13077.5814,Brampton West / Brampton-Ouest
W4569340,L7A2S8,999000.0,Single Family,"30 MISTYBROOK CRES|Brampton, Ontario L7A2S8",-79.82536280000002,43.6925344,House,4.0,4 + 2,2.0,"37.53 x 152.72 FT ; * 119.08' At Rear, Pie Shaped *",SAVE MAX FIRST CHOICE REAL ESTATE INC.,4.0,2,5731.5816,Brampton West / Brampton-Ouest
W4569236,L6Y2X8,1699900.0,Single Family,"8859 CREDITVIEW RD|Brampton, Ontario L6Y2X8",-79.78733940000002,43.65339470000001,House,5.0,5 + 1,2.0,60.04 x 114.83 FT,RE/MAX REALTY SPECIALISTS INC.,5.0,1,6894.3932,Brampton South / Brampton-Sud
W4569219,L6Z3Y5,859000.0,Single Family,"93 SUNFOREST DR|Brampton, Ontario L6Z3Y5",-79.78937459999999,43.713025,House,4.0,4 + 2,2.0,45.11 x 119.7 FT ; Basement Apartment And Separate Entrance,SUTTON WEST REALTY INC.,4.0,2,5399.6669999999995,Brampton North / Brampton-Nord
W4569161,L6X5E3,664900.0,Single Family,"59 ROTUNDA ST|Brampton, Ontario L6X5E3",-79.7966161,43.6819932,House,3.0,3,2.0,22.47 x 109.91 FT ; **Backing To Park**,RE/MAX REALTY SPECIALISTS INC.,3.0,0,2469.6777,Brampton West / Brampton-Ouest
W4569120,L7A3E2,878000.0,Single Family,"4 HIBERTON CRES|Brampton, Ontario L7A3E2",-79.82978370000002,43.689890399999996,House,4.0,4 + 2,2.0,44.91 x 85.33 FT,RE/MAX REAL ESTATE CENTRE INC.,4.0,2,3832.1703,Brampton West / Brampton-Ouest
W4569067,L7A0X5,839000.0,Single Family,"9 TRIBUNE DR|Brampton, Ontario L7A0X5",-79.83997719999998,43.6896705,House,4.0,3 + 2,2.0,28.74 x 90.49 FT,RE/MAX GOLD REALTY INC.,3.0,2,2600.6826,Brampton West / Brampton-Ouest
W4568941,L6X3V1,869000.0,Single Family,"90 MAJOR WILLIAM SHARPE DR|Brampton, Ontario L6X3V1",-79.78644059999998,43.6733161,House,4.0,4 + 2,2.0,39.62 x 110.07 FT,IPRO REALTY LTD.,4.0,2,4360.9734,Brampton West / Brampton-Ouest
W4568909,,685000.0,Single Family,"11 ABELL DR|Brampton, Ontario",-79.7632718,43.707931200000004,House,3.0,3 + 1,2.0,46.24 x 120 FT,REALTY ASSOCIATES INC.,3.0,1,5548.8,Brampton Centre / Brampton-Centre
W4568860,L6X2Y4,1699000.0,Single Family,"8 CHILLIWACK GRVE|Brampton, Ontario L6X2Y4",-79.80691970000002,43.6596484,House,4.0,4,2.0,50.06 x 138.28 FT,KINGSWAY REAL ESTATE,4.0,0,6922.2968,Brampton West / Brampton-Ouest
W4569154,L7A3C9,929000.0,Single Family,"56 HIBERTON CRES|Brampton, Ontario L7A3C9",-79.830929,43.6916321,House,4.0,4 + 1,2.0,45.01 x 85.3 FT,IPRO REALTY LTD.,4.0,1,3839.353,Brampton West / Brampton-Ouest
W4568809,L7A2Z1,835000.0,Single Family,"18 NOTMAN WAY|Brampton, Ontario L7A2Z1",-79.82799,43.688592,House,3.0,4,2.0,"33.3 x 105.58 FT ; Irregular Pie Shaped, Widens At Rear",GOWEST REALTY LTD.,4.0,0,3515.8140000000003,Brampton West / Brampton-Ouest
W4568701,L6X2H8,664900.0,Single Family,"55 CAMPBELL DR|Brampton, Ontario L6X2H8",-79.78161999999998,43.677988,House,2.0,3,1.0,50 x 100 FT,CLOUD REALTY,3.0,0,5000.0,Brampton West / Brampton-Ouest
W4568551,L6X1J3,579000.0,Single Family,|,-79.76690740000002,43.6890956,House,2.0,3,2.0,38 x 158.33 FT,CENTURY 21 MILLENNIUM INC.,3.0,0,6016.540000000001,Brampton South / Brampton-Sud
W4568226,L6T1M8,659999.0,Single Family,"43 BROOKDALE CRES|Brampton, Ontario L6T1M8",-79.710561,43.70347,House,3.0,3 + 1,,26.25 x 110.85 FT ; Nice & Huge Backyard!,HOMELIFE/MIRACLE REALTY LTD,3.0,1,2909.8125,Brampton Centre / Brampton-Centre
W4568062,L6X2H3,719900.0,Single Family,"31 CONISTON AVE|Brampton, Ontario L6X2H3",-79.7832876,43.6780017,House,2.0,3,,50 x 114.34 FT,RE/MAX REALTY SERVICES INC.,3.0,0,5717.0,Brampton West / Brampton-Ouest
W4567653,L6X0W4,1389000.0,Single Family,"12 FRANMAR RD|Brampton, Ontario L6X0W4",-79.8007593,43.6556485,House,4.0,4,2.0,69.09 x 118.27 FT ; Irr,RE/MAX REALTRON REALTY INC.,4.0,0,8171.2743,Brampton West / Brampton-Ouest
W4567526,L7A0T5,1069700.0,Single Family,"21 OLD CLEEVE CRES|Brampton, Ontario L7A0T5",-79.83613009999998,43.6779249,House,4.0,4 + 2,2.0,45.01 x 88.58 FT ; ((( 45 Ft Wide Lot ))),ROYAL LEPAGE FLOWER CITY REALTY,4.0,2,3986.9858,Brampton West / Brampton-Ouest
W4567229,L6X1Y8,749000.0,Single Family,"33 MCLAUGHLIN RD|Brampton, Ontario L6X1Y8",-79.773552,43.678574,House,3.0,3 + 1,1.5,85 x 80 FT,KINGSWAY REAL ESTATE,3.0,1,6800.0,Brampton South / Brampton-Sud
W4566882,L7A4C3,899998.0,Single Family,"3 KILKARRIN RD|Brampton, Ontario L7A4C3",-79.85339586134641,43.7014451536125,House,3.0,4,2.0,38.06 x 88.94 FT ; Real Pride Of Ownership )))),REALMOVE REALTY LTD.,4.0,0,3385.0564,Brampton West / Brampton-Ouest
W4566598,L6X0L6,769900.0,Single Family,"9 GEORGIAN RD|Brampton, Ontario L6X0L6",-79.81494980000002,43.674325700000004,House,3.0,3,2.0,36.15 x 85 FT ; As Per Survey,CENTURY 21 PEOPLE'S CHOICE REALTY INC.,3.0,0,3072.75,Brampton West / Brampton-Ouest
W4566358,L6X0X6,1239900.0,Single Family,"35 JUNETOWN CIRC|Brampton, Ontario L6X0X6",-79.8049813,43.6613577,House,5.0,4 + 2,2.0,41.01 x 104.99 FT,RE/MAX REAL ESTATE CENTRE INC.,4.0,2,4305.639899999999,Brampton West / Brampton-Ouest
W4566160,L6Y2V8,689000.0,Single Family,"42 BRIDEKIRK PL|Brampton, Ontario L6Y2V8",-79.7529337,43.662432700000004,House,3.0,3,2.0,30.18 x 147.55 FT ; 147 Ft Deep Lot!! South Brampton,CENTURY 21 GREEN REALTY INC.,3.0,0,4453.059,Brampton South / Brampton-Sud
W4566159,L6X3C3,1159000.0,Single Family,"284 ELBERN MARKELL DR|Brampton, Ontario L6X3C3",-79.8172566,43.665916100000004,House,6.0,5 + 3,2.0,38 x 118 FT,SAVE MAX SUPREME REAL ESTATE INC.,5.0,3,4484.0,Brampton West / Brampton-Ouest
W4566527,L6X2H8,589000.0,Single Family,"41 CAMPBELL DR|Brampton, Ontario L6X2H8",-79.780441,43.6775971,House,2.0,3,,44.49 x 102.87 FT,CENTURY 21 MILLENNIUM INC.,3.0,0,4576.6863,Brampton West / Brampton-Ouest
W4565896,L6T1Y3,768999.0,Single Family,"19 CROYDON CRT|Brampton, Ontario L6T1Y3",-79.7104079,43.7125808,House,3.0,4,1.0,69.52 x 114.37 FT,CENTURY 21 REGAL REALTY INC.,4.0,0,7951.0024,Brampton Centre / Brampton-Centre
W4565865,L6X3H3,949000.0,Single Family,"13 BRYDON CRES|Brampton, Ontario L6X3H3",-79.7841196,43.67077070000001,House,4.0,4,2.0,49.22 x 98.84 FT ; Irreg,ROYAL LEPAGE VENDEX REALTY,4.0,0,4864.9048,Brampton West / Brampton-Ouest
W4565749,L6V3A9,679900.0,Single Family,"61 NEWLYN CRES|Brampton, Ontario L6V3A9",-79.76802640000002,43.7010275,House,3.0,4 + 1,2.0,30 x 100 FT,RE/MAX REALTY SERVICES INC.,4.0,1,3000.0,Brampton Centre / Brampton-Centre
W4565733,L6X4Y8,629900.0,Single Family,"60 SECORD CRES|Brampton, Ontario L6X4Y8",-79.8125803,43.6817591,House,2.0,3,2.0,22.47 x 122.28 FT,HOMELIFE/MIRACLE REALTY LTD,3.0,0,2747.6316,Brampton West / Brampton-Ouest
W4565646,L6S5V4,859900.0,Single Family,"16 LONE OAK AVE|Brampton, Ontario L6S5V4",-79.7439964,43.7120088,House,4.0,4 + 2,2.0,49.21 x 111.55 FT,RE/MAX PREMIER INC.,4.0,2,5489.3755,Brampton Centre / Brampton-Centre
W4565385,L6X5L2,1449000.0,Single Family,"13 COVINA RD|Brampton, Ontario L6X5L2",-79.78869350000002,43.6622718,House,4.0,4,2.0,65 x 117 FT ; *Must See Virtual Tour*,HOME VISION REAL ESTATE INC.,4.0,0,7605.0,Brampton West / Brampton-Ouest
W4564837,L7A1X8,729000.0,Single Family,"12 VALLEYPARK CRES|Brampton, Ontario L7A1X8",-79.8051158,43.6943694,House,3.0,2 + 1,1.0,39.27 x 92.57 FT ; ''''''''''ravine Lot''''''''''''',SAVE MAX SUCCESS REALTY,2.0,1,3635.2239,Brampton West / Brampton-Ouest
W4564778,L6V4G8,649000.0,Single Family,"30 ALABASTER DR|Brampton, Ontario L6V4G8",-79.776368,43.7129287,House,3.0,3,2.0,30.02 x 100.06 FT,HOMELIFE/MIRACLE REALTY LTD,3.0,0,3003.8012,Brampton Centre / Brampton-Centre
W4564199,L7A2K3,799800.0,Single Family,"87 QUEEN MARY DR|Brampton, Ontario L7A2K3",-79.8053128,43.699521399999995,House,4.0,3 + 1,2.0,53.07 x 86.27 FT ; Irregular,CENTURY 21 REGAL REALTY INC.,3.0,1,4578.3489,Brampton West / Brampton-Ouest
W4564173,L6X0W5,1499900.0,Single Family,"50 INTERLACKEN DR|Brampton, Ontario L6X0W5",-79.80036109999998,43.6572012,House,5.0,5 + 3,2.0,54.3 x 140.38 FT ; Irregular,HOMELIFE/MIRACLE REALTY LTD,5.0,3,7622.633999999999,Brampton West / Brampton-Ouest
W4564169,L6Y5G9,1399000.0,Single Family,"3 CLASSIC DR|Brampton, Ontario L6Y5G9",-79.7934032,43.6534661,House,4.0,4,2.0,69.88 x 194.29 FT,ICI SOURCE REAL ASSET SERVICES INC.,4.0,0,13576.9852,Brampton South / Brampton-Sud
W4563902,L6X3M8,684900.0,Single Family,"93 ECCLESTONE DR|Brampton, Ontario L6X3M8",-79.7853896,43.6970998,House,3.0,3 + 1,2.0,30.28 x 109.26 FT,RE/MAX REALTY SPECIALISTS INC.,3.0,1,3308.3928,Brampton West / Brampton-Ouest
W4563786,L6X3M9,659902.0,Single Family,"100 CLARRIDGE CRT|Brampton, Ontario L6X3M9",-79.7835941,43.696901200000006,House,3.0,3 + 1,2.0,30 x 188.02 FT,REAL MAX REALTY SERVICES INC.,3.0,1,5640.6,Brampton West / Brampton-Ouest
W4563299,L6T1R7,649999.0,Single Family,"39 ALGONQUIN BLVD|Brampton, Ontario L6T1R7",-79.70490720000002,43.711137,House,2.0,3 + 1,,34.54 x 131.17 FT ; Beautiful Home,ROYAL STAR REALTY INC.,3.0,1,4530.6118,Brampton Centre / Brampton-Centre
W4563240,L7A0W3,915000.0,Single Family,"2 BRYONY RD|Brampton, Ontario L7A0W3",-79.82914659999999,43.6812076,House,3.0,4,2.0,43.6 x 93.11 FT,HOMELIFE/MIRACLE REALTY LTD,4.0,0,4059.5959999999995,Brampton West / Brampton-Ouest
W4563022,L6Y1H1,529000.0,Single Family,"66 CORBY CRES|Brampton, Ontario L6Y1H1",-79.761903,43.6748046,House,2.0,3 + 2,1.0,29 x 152 FT,ACCSELL REALTY INC.,3.0,2,4408.0,Brampton South / Brampton-Sud
W4562949,L6V2Y2,599999.0,Single Family,"305 HANSEN RD N|Brampton, Ontario L6V2Y2",-79.7633266,43.7066854,House,2.0,4,2.0,30.73 x 184.59 FT,RE/MAX GOLD REALTY INC.,4.0,0,5672.4507,Brampton Centre / Brampton-Centre
W4562118,L6X1G3,2500000.0,Single Family,"35 RAILROAD ST|Brampton, Ontario L6X1G3",-79.7660533,43.6861824,House,1.0,3,1.0,33.59 x 45.69 FT ; East 27.23M; Rear 13.065M,RE/MAX REALTY SPECIALISTS INC.,3.0,0,1534.7271,Brampton South / Brampton-Sud
W4562050,L6X2Y4,2299900.0,Single Family,"37 DALMENY DR|Brampton, Ontario L6X2Y4",-79.8078683,43.65942929999999,House,5.0,4 + 2,2.0,75.73 x 136.66 FT ; Pie Shape Lot,SAVE MAX ELITE REAL ESTATE INC.,4.0,2,10349.2618,Brampton West / Brampton-Ouest
W4561784,L7A2H3,869900.0,Single Family,"1 BEACHPOINT  BLVD|Brampton, Ontario L7A2H3",-79.8191063,43.687927,House,5.0,4 + 3,2.0,54.8 x 98.1 FT,HOMELIFE/MIRACLE REALTY LTD,4.0,3,5375.879999999999,Brampton West / Brampton-Ouest
W4561723,L6X4T8,685000.0,Single Family,"41 OLDE TOWN RD|Brampton, Ontario L6X4T8",-79.8031674,43.6873169,House,3.0,3,2.0,22.47 x 109.91 FT ; Real Pride Of Ownership )))),HOMELIFE SUPERSTARS REAL ESTATE LIMITED,3.0,0,2469.6777,Brampton West / Brampton-Ouest
W4561746,L7A4G5,769900.0,Single Family,"154 BUICK BLVD|Brampton, Ontario L7A4G5",-79.8424871,43.69113400000001,House,3.0,3,2.0,9.5 x 27.2 M,HOMELIFE SILVERCITY REALTY INC.,3.0,0,258.4,Brampton West / Brampton-Ouest
W4561693,L6X4A4,977000.0,Single Family,"126 MAJOR WILLIAM SHARPE DR|Brampton, Ontario L6X4A4",-79.78819229999998,43.6757731,House,4.0,4 + 2,2.0,50.06 x 104.98 FT,IPRO REALTY LTD.,4.0,2,5255.298800000001,Brampton West / Brampton-Ouest
W4561598,L6Y2R6,949000.0,Single Family,"51 MORTON WAY|Brampton, Ontario L6Y2R6",-79.75045899999998,43.656759,House,4.0,4 + 2,2.0,30 x 104.33 FT,HOMELIFE/MIRACLE REALTY LTD,4.0,2,3129.9,Brampton South / Brampton-Sud
W4561481,L7A0G4,820000.0,Single Family,"27 STEDFORD CRES|Brampton, Ontario L7A0G4",-79.8500373,43.700556299999995,House,4.0,4,2.0,30.02 x 88.58 FT,RE/MAX REALTY SERVICES INC.,4.0,0,2659.1716,Brampton West / Brampton-Ouest
W4561445,L6V2T9,699000.0,Single Family,"168 SKEGBY RD|Brampton, Ontario L6V2T9",-79.7673454,43.7047407,House,3.0,4 + 1,,30 x 100 FT,RE/MAX REALTY ONE INC.,4.0,1,3000.0,Brampton Centre / Brampton-Centre
W4561257,L6Y1Y7,626000.0,Single Family,"61 MCMURCHY AVE S|Brampton, Ontario L6Y1Y7",-79.75946090000002,43.6762993,House,2.0,3 + 1,1.0,60.99 x 100 FT,CITYSCAPE REAL ESTATE LTD.,3.0,1,6099.0,Brampton South / Brampton-Sud
W4560863,L6X4M8,786000.0,Single Family,"89 PEBBLESTONE CIRC|Brampton, Ontario L6X4M8",-79.787462,43.690173,House,4.0,4 + 1,2.0,29.81 x 112.51 FT ; ***1 Bdrm Basement Apartment***,HOMELIFE/MIRACLE REALTY LTD,4.0,1,3353.9231,Brampton West / Brampton-Ouest
W4560773,L6X5N2,1149900.0,Single Family,"16 GAINSFORD RD|Brampton, Ontario L6X5N2",-79.7929705301178,43.6736065261119,House,4.0,4,2.0,38 FT,ICONIC REALTY,4.0,0,,Brampton West / Brampton-Ouest
W4560772,L6X5N1,1149900.0,Single Family,"19 GLACIER RD|Brampton, Ontario L6X5N1",-79.7939466889916,43.67322188837249,House,4.0,4,2.0,38 FT,ICONIC REALTY,4.0,0,,Brampton West / Brampton-Ouest
W4560754,L7A2Z9,649999.0,Single Family,"8 SILVER EGRET RD|Brampton, Ontario L7A2Z9",-79.831496,43.696112899999996,House,3.0,3 + 1,2.0,26.02 x 85.3 FT,HOMELIFE SILVERCITY REALTY INC.,3.0,1,2219.506,Brampton West / Brampton-Ouest
W4560597,L7A3G8,949900.0,Single Family,"49 BONISTEL CRES|Brampton, Ontario L7A3G8",-79.8124052,43.6984901,House,3.0,4,2.0,44.95 x 86.98 FT,KELLER WILLIAMS EDGE REALTY,4.0,0,3909.7509999999997,Brampton West / Brampton-Ouest
W4560537,L7A3B6,730000.0,Single Family,"48 CADILLAC CRES|Brampton, Ontario L7A3B6",-79.838149,43.6921883,House,4.0,4,2.0,22.47 x 104.99 FT,RE/MAX ESCARPMENT REALTY INC.,4.0,0,2359.1253,Brampton West / Brampton-Ouest
H4062081,L7A3G8,949900.0,Single Family,"49 Bonistel Crescent|Brampton, Ontario L7A3G8",-79.812411,43.698475,House,3.0,4,2.0,44.95 x 86.98|under 1/2 acre,Keller Williams Edge Realty,4.0,0,21780.0,Brampton West / Brampton-Ouest
W4560062,L7A2H7,669000.0,Single Family,"20 CORVETTE CRT|Brampton, Ontario L7A2H7",-79.81896590000002,43.6929848,House,2.0,3,2.0,22.5 x 110 FT,RE/MAX REAL ESTATE CENTRE INC.,3.0,0,2475.0,Brampton West / Brampton-Ouest
W4559934,L7A4C2,819900.0,Single Family,"47 HUMBERSTONE CRES|Brampton, Ontario L7A4C2",-79.8555476,43.70285,House,3.0,4,2.0,30.02 x 88.91 FT,RE/MAX REAL ESTATE CENTRE INC.,4.0,0,2669.0782,Brampton West / Brampton-Ouest
W4559906,L6W1E7,688000.0,Single Family,"32 WATSON CRES|Brampton, Ontario L6W1E7",-79.7335246,43.676737100000004,House,3.0,3,2.0,50 x 100 FT,RIGHT AT HOME REALTY INC.,3.0,0,5000.0,Brampton South / Brampton-Sud
W4559665,,929888.0,Single Family,"358 CLOCKWORK DR|Brampton, Ontario",-79.8514394,43.703044299999995,House,3.0,4,2.0,30 x 80 FT,THE DIAMOND REALTY INC.,4.0,0,2400.0,Brampton West / Brampton-Ouest
W4559822,L7A4E5,759900.0,Single Family,"9 TRURO CIRC|Brampton, Ontario L7A4E5",-79.8577668,43.7004738,House,3.0,4,2.0,28 x 89 FT,IREP REALTY INC.,4.0,0,2492.0,Brampton West / Brampton-Ouest
W4559472,L6X0K1,1299900.0,Single Family,"46 ORANMORE CRES|Brampton, Ontario L6X0K1",-79.8049187,43.6750887,House,5.0,5 + 3,2.0,40 x 100 FT,ROYAL LEPAGE SIGNATURE REALTY,5.0,3,4000.0,Brampton West / Brampton-Ouest
W4559252,L6V2Y6,719900.0,Single Family,"50 LINKDALE RD|Brampton, Ontario L6V2Y6",-79.76720309999997,43.7036624,House,2.0,3,1.0,50 x 100 FT,CENTURY 21 PEOPLE'S CHOICE REALTY INC.,3.0,0,5000.0,Brampton Centre / Brampton-Centre
W4559068,L7A4Z3,1379990.0,Single Family,"58 FRESNEL RD|Brampton, Ontario L7A4Z3",-79.85555481537659,43.688388963503506,House,3.0,4,2.0,45 x 129 FT ; 117 On One Side Of Lot 48 Wide At Rear,SPECTRUM REALTY SERVICES INC.,4.0,0,5805.0,Brampton West / Brampton-Ouest
W4559055,L7A5A1,1235990.0,Single Family,"14 SMALLWOOD RD|Brampton, Ontario L7A5A1",-79.8532889361898,43.691268867700394,House,3.0,4,2.0,41 x 90 FT,SPECTRUM REALTY SERVICES INC.,4.0,0,3690.0,Brampton West / Brampton-Ouest
W4559063,L7A4Z9,964990.0,Single Family,"10 DALE MEADOWS RD|Brampton, Ontario L7A4Z9",-79.853749240766,43.6901706703508,House,4.0,3,2.0,30 x 90 FT,SPECTRUM REALTY SERVICES INC.,3.0,0,2700.0,Brampton West / Brampton-Ouest
W4558971,L7A1Y3,749999.0,Single Family,"4 GOLD PARK PL|Brampton, Ontario L7A1Y3",-79.81411259999999,43.703536299999996,House,4.0,3 + 1,2.0,41.01 x 84.89 FT,IPRO REALTY LTD.,3.0,1,3481.3389,Brampton West / Brampton-Ouest
W4558669,L6V2G9,560000.0,Single Family,"26 TINDALE RD|Brampton, Ontario L6V2G9",-79.75324040000002,43.7037275,House,3.0,3 + 1,2.0,29.32 x 100 FT,KELLER WILLIAMS REAL ESTATE ASSOCIATES,3.0,1,2932.0,Brampton Centre / Brampton-Centre
W4558049,L7A0C3,1050000.0,Single Family,"LOT 48 ACTION DR|Brampton, Ontario L7A0C3",-79.8425106,43.7067295,House,4.0,4,2.0,,ROYAL LEPAGE FLOWER CITY REALTY,4.0,0,,Brampton West / Brampton-Ouest
W4556730,L6X2G3,730000.0,Single Family,"10 CAMBRIDGE CRES|Brampton, Ontario L6X2G3",-79.7769811,43.6752088,House,3.0,3 + 2,1.0,50 x 107.59 FT,ACRO GOLD REALTY INC.,3.0,2,5379.5,Brampton West / Brampton-Ouest
W4556469,L7A4J6,1100000.0,Single Family,"9 ANTOINE ST|Brampton, Ontario L7A4J6",-79.84394640000002,43.702057399999994,House,4.0,4,2.0,38.06 x 88.58 FT,ROYAL LEPAGE REALTY CENTRE,4.0,0,3371.3548,Brampton West / Brampton-Ouest
W4556328,L6X5C1,899000.0,Single Family,"55 DWELLERS RD|Brampton, Ontario L6X5C1",-79.79825670000002,43.69098870000001,House,4.0,4 + 2,2.0,34.12 x 109.91 FT,ROYAL STAR REALTY INC.,4.0,2,3750.1292,Brampton West / Brampton-Ouest
W4556105,L7A3J2,819900.0,Single Family,"7 CAPISTRO ST|Brampton, Ontario L7A3J2",-79.82632579999998,43.6846859,House,4.0,4 + 1,2.0,27.55 x 109.9 FT ; $$ Fully Renovated. Top To Bottom $$,SAVE MAX SUPREME REAL ESTATE INC.,4.0,1,3027.745000000001,Brampton West / Brampton-Ouest
W4556090,L6X0Z1,1109000.0,Single Family,"40 MAYBECK DR|Brampton, Ontario L6X0Z1",-79.7996647,43.6638973,House,3.0,4,2.0,70.2 x 105 FT,RE/MAX REAL ESTATE CENTRE INC.,4.0,0,7371.0,Brampton West / Brampton-Ouest
W4555726,L7A4V8,849900.0,Single Family,"42 MILITARY CRES|Brampton, Ontario L7A4V8",-79.852413,43.6899533,House,3.0,4,2.0,30.02 x 90.22 FT ; !!! One Year New !!!,HOMELIFE MAPLE LEAF REALTY LTD.,4.0,0,2708.4044,Brampton West / Brampton-Ouest
W4555457,L6V3B5,680000.0,Single Family,"350 CENTRE ST|Brampton, Ontario L6V3B5",-79.7710684,43.70270429999999,House,3.0,3 + 2,,30.25 x 112.78 FT,IPRO REALTY LTD.,3.0,2,3411.5950000000007,Brampton Centre / Brampton-Centre
W4555442,L6V2W7,669900.0,Single Family,"29 BRUCE BEER DR|Brampton, Ontario L6V2W7",-79.75911049999998,43.70848220000001,House,3.0,3 + 3,2.0,30 x 100 FT,CENTURY 21 PEOPLE'S CHOICE REALTY INC.,3.0,3,3000.0,Brampton Centre / Brampton-Centre
W4555331,L7A4E5,719900.0,Single Family,"23 TRURO CIRC|Brampton, Ontario L7A4E5",-79.85792940000002,43.7000196,House,3.0,3,2.0,28.05 x 88.58 FT ; Residential,ROYAL LEPAGE FLOWER CITY REALTY,3.0,0,2484.669,Brampton West / Brampton-Ouest
